S. No.,Career,CP Category
1,Accent Trainer,Language
2,Foreign Language Teacher,Language
3,Linguist,Language
4,Translator,Language
5,Lexicographer,Language
6,Interpreter,Language
7,Dubbing Artist or Voice Actor,Language
8,English Literature Scholar,Language
9,Travel Consultant,Hospitality & Tourism
10,Tour Operator,Hospitality & Tourism
11,Air Hostess/Purser,Hospitality & Tourism
12,Chef,Hospitality & Tourism
13,Food & Beverage Manager,Hospitality & Tourism
14,Tour Guide,Hospitality & Tourism
15,Bartender/Mixologist,Hospitality & Tourism
16,Sommelier,Hospitality & Tourism
17,Cake Artist,Hospitality & Tourism
18,Chocolatier,Hospitality & Tourism
19,Coffee Taster,Hospitality & Tourism
20,Logistics Analyst,Logistics
21,Transportation Manager,Logistics
22,Logistics Manager,Logistics
23,Supply chain manager,Logistics
24,Distribution Manager,Logistics
25,Purchasing and Materials Manager,Logistics
26,Inventory Manager,Logistics
27,Port Operations Manager,Logistics
28,Lawyer/Law Officer/Advocate,Legal 
29,Public Policy Advisor,Legal 
30,Corporate Legal Advisor/Compliance Officer,Legal 
31,Judge,Legal 
32,Medico Legal Advisor,Legal 
33,Human Rights Lawyer,Legal 
34,Patent Lawyer,Legal 
35,Arbitrator,Legal 
36,Special Educator,Education
37,School Teacher,Education
38,Assistant Professor,Education
39,Academic Researcher,Education
40,School Counsellor,Education
41,Pre-school Educator,Education
42,Physical Educator,Education
43,Assistant Teacher,Education
44,Lecturer (College & University),Education
45,Curriculum Developer,Education
46,Coast Guard,Defence
47,Indian Air Force officer,Defence
48,Border Security Force (BSF),Defence
49,Indian Army Officer,Defence
50,Indian Navy Officer,Defence
51,ITBP officer,Defence
52,CISF officer,Defence
53,Indian Home Guard,Defence
54,CRPF officer,Defence
55,SSB - Sashastra Seema Bal officer ,Defence
56,Agniveer ,Defence
57,Financial Accountant,BFSI
58,Cost & Works Accountant,BFSI
59,Company Secretary,BFSI
60,Actuary,BFSI
61,Chartered Accountant,BFSI
62,Investment/ Portfolio Manager,BFSI
63,Equity Research Analyst,BFSI
64,Financial Analyst,BFSI
65,Insurance Agent,BFSI
66,Investment Banker,BFSI
67,Stock Broker,BFSI
68,Tax Auditor,BFSI
69,Bank Probationary Officer,BFSI
70,Bank Clerk,BFSI
71,Venture capitalist,BFSI
72,Risk manager,BFSI
73,Relationship Manager,BFSI
74,Bank Manager/Branch Manager,BFSI
75,Loan Officer,BFSI
76,Compliance Officer,BFSI
77,Industrial Designer,Design
78,Ceramic Designer,Design
79,Design Engineer,Design
80,Graphics Designer,Design
81,Web Designer,Design
82, Production Designer,Design
83,Textile Designer,Design
84,Game Designer/Developer,Design
85,Film/Video Designer,Design
86,Electronics Designer,Design
87,Interior designer,Design
88,Visual Communication Designer,Design
89,CAD jewellery designer,Design
90,Multimedia Designer,Design
91,Fashion Designer,Design
92,Footwear designer,Design
93,Product Designer,Design
94,Quality Assurance Engineer,IT
95,Blockchain Developer,IT
96,Computer hardware engineer,IT
97,Help desk analyst,IT
98,Internet of Things (IoT) Solutions Architect ,IT
99,Computer Scientist,IT
100,Cloud engineer,IT
101,Computer network architect,IT
102,SEO Manager,IT
103,Web Analyst,IT
104,Programmer/coder/software engineer,IT
105,Network Administrator,IT
106,Systems Analyst,IT
107,Database administrator,IT
108,Software application packager,IT
109,Full stack developer,IT
110,Data Scientist,IT
111,Development Operations Engineer,IT
112,UX Designer,IT
113,Nurse,Health and Wellness
114,Auxiliary Nurse Midwifery (ANM),Health and Wellness
115,Physiotherapist,Health and Wellness
116,Surgeon,Health and Wellness
117,Dietician,Health and Wellness
118,Paediatrician,Health and Wellness
119,Clinical Psychologist,Health and Wellness
120,Emergency Medical Technician (EMT),Health and Wellness
121,Paramedic,Health and Wellness
122,Medical Writer,Health and Wellness
123,General Nurse and Midwife,Health and Wellness
124,Orthotist/Prosthetist,Health and Wellness
125,Medical Technician,Health and Wellness
126,Occupational Therapist,Health and Wellness
127,Speech and Language Therapist (SLP)/ Audiologist,Health and Wellness
128,Psychological Counsellor /Counselling Psychologist,Health and Wellness
129,Dentist,Health and Wellness
130,Optometrist,Health and Wellness
131,Dance Therapist,Health and Wellness
132,Medical Transcriptionist,Health and Wellness
133,Rehabilitation Specialist,Health and Wellness
134,Palliative and Hospice Care Specialist,Health and Wellness
135,Medical Representative,Health and Wellness
136,Homeopathy Doctor,Health and Wellness
137,Massage Therapist,Health and Wellness
138,Chiropractor,Health and Wellness
139,Acupuncturist,Health and Wellness
140,Public Health Officer,Health and Wellness
141,Oncologist,Health and Wellness
142,Pharmacist,Health and Wellness
143,Anaesthesiologist,Health and Wellness
144,Periodontist,Health and Wellness
145,Veterinarian,Health and Wellness
146,Psychiatrist,Health and Wellness
147,Perfusion technologist,Health and Wellness
148,Nutritionist,Health and Wellness
149,Radiologist,Health and Wellness
150,General Physician,Health and Wellness
151,Ayurvedic Doctor,Health and Wellness
152,Cardiologist,Health and Wellness
153,Cosmetic Dermatologist,Health and Wellness
154,Endocrinologist,Health and Wellness
155,ENT,Health and Wellness
156,Gynecologist ,Health and Wellness
157,Naturapathic Doctor,Health and Wellness
158,Ophthalmologist,Health and Wellness
159,orthopedist,Health and Wellness
160,Pulmonologist,Health and Wellness
161,Unani Doctor,Health and Wellness
162,Urologist,Health and Wellness
163,Human Resource Manager,Management 
164,Sales and Marketing Manager ,Management 
165,Finance Manager ,Management 
166,Operations Manager,Management 
167,Healthcare Manager,Management 
168,Retail Manager,Management 
169,International Business Manager ,Management 
170,Public Relations  Manager,Management 
171,Physical or Fitness Trainer ,Sports
172,Referee (Football),Sports
173,Sports Agent/Manager,Sports
174,Sports Scout,Sports
175,Sports Analyst,Sports
176,Sports Lawyer,Sports
