Code,NCS,Occupation,Slug
A01,2652.03,Singer,/career/singer/
A01,2652.03,गायक (Singer),/hi/career/%e0%a4%97%e0%a4%be%e0%a4%af%e0%a4%95-singer/
A02,2655.01,Actor,/career/actor/
A02,2655.01,अभिनेता (Actor),/hi/career/%e0%a4%85%e0%a4%ad%e0%a4%bf%e0%a4%a8%e0%a5%87%e0%a4%a4%e0%a4%be-actor/
A03,2166.01,Artist,/career/artist/
A03,2166.01,कलाकार (Artist),/hi/career/%e0%a4%95%e0%a4%b2%e0%a4%be%e0%a4%95%e0%a4%be%e0%a4%b0-artist/
A04,NA,Art Dealer,/career/art-dealer/
A04,NA,कला व्यापारी (Art Dealer),/hi/career/%e0%a4%95%e0%a4%b2%e0%a4%be-%e0%a4%b5%e0%a5%8d%e0%a4%af%e0%a4%be%e0%a4%aa%e0%a4%be%e0%a4%b0%e0%a5%80-art-dealer/
A05,NA,Theatre Artist,/career/theatre-artist/
A05,NA,रंगमंच कलाकार (Theatre Artist),/hi/career/%e0%a4%b0%e0%a4%82%e0%a4%97%e0%a4%ae%e0%a4%82%e0%a4%9a-%e0%a4%95%e0%a4%b2%e0%a4%be%e0%a4%95%e0%a4%be%e0%a4%b0-theatre-artist/
A06,NA,Musician,/career/musician/
A06,NA,संगीतकार (Musician),/hi/career/%e0%a4%b8%e0%a4%82%e0%a4%97%e0%a5%80%e0%a4%a4%e0%a4%95%e0%a4%be%e0%a4%b0-musician/
A07,2653.03,Dancer,/career/dancer/
A07,2653.03,नर्तक (Dancer),/hi/career/%e0%a4%a8%e0%a4%b0%e0%a5%8d%e0%a4%a4%e0%a4%95-dancer/
A08,3431.01,Photographer,/career/photographer/
A08,3431.01,फोटोग्राफर (Photographer),/hi/career/%e0%a4%ab%e0%a5%8b%e0%a4%9f%e0%a5%8b%e0%a4%97%e0%a5%8d%e0%a4%b0%e0%a4%be%e0%a4%ab%e0%a4%b0-photographer/
A09,2653.01,Choreographer,/career/choreographer/
A09,2653.01,कोरियोग्राफर (Choreographer),/hi/career/%e0%a4%95%e0%a5%8b%e0%a4%b0%e0%a4%bf%e0%a4%af%e0%a5%8b%e0%a4%97%e0%a5%8d%e0%a4%b0%e0%a4%be%e0%a4%ab%e0%a4%b0-choreographer/
A10,NA,Sculptor,/career/sculptor/
A10,NA,मूर्तिकार (Sculptor),/hi/career/%e0%a4%ae%e0%a5%82%e0%a4%b0%e0%a5%8d%e0%a4%a4%e0%a4%bf%e0%a4%95%e0%a4%be%e0%a4%b0-sculptor/
A12,NA,Disc Jockey,/career/disc-jockey/
A12,NA,डिस्क जॉकी (Disc Jockey),/hi/career/%e0%a4%a1%e0%a4%bf%e0%a4%b8%e0%a5%8d%e0%a4%95-%e0%a4%9c%e0%a5%89%e0%a4%95%e0%a5%80-disc-jockey/
BFSI01,2411.01,वित्तीय लेखाकार (फाइनेंशियल अकाउंटेंट),/hi/career/%e0%a4%b5%e0%a4%bf%e0%a4%a4%e0%a5%8d%e0%a4%a4%e0%a5%80%e0%a4%af-%e0%a4%b2%e0%a5%87%e0%a4%96%e0%a4%be%e0%a4%95%e0%a4%be%e0%a4%b0-%e0%a4%ab%e0%a4%be%e0%a4%87%e0%a4%a8%e0%a5%87%e0%a4%82%e0%a4%b6/
BFSI01,2411.01,Financial Accountant,/career/financial-accountant/
BFSI02,2411.03,Cost & Works Accountant,/career/cost-works-accountant/
BFSI02,2411.03,लागत और कार्य लेखाकार,/hi/career/%e0%a4%b2%e0%a4%be%e0%a4%97%e0%a4%a4-%e0%a4%94%e0%a4%b0-%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%8d%e0%a4%af-%e0%a4%b2%e0%a5%87%e0%a4%96%e0%a4%be%e0%a4%95%e0%a4%be%e0%a4%b0/
BFSI03,NA,Company Secretary,/career/company-secretary/
BFSI03,NA,कंपनी सचिव,/hi/career/%e0%a4%95%e0%a4%82%e0%a4%aa%e0%a4%a8%e0%a5%80-%e0%a4%b8%e0%a4%9a%e0%a4%bf%e0%a4%b5/
BFSI04,2120.02,Actuary,/career/actuary/
BFSI04,2120.02,"एक्चुअरी (बीमा के संदर्भ में, संभावित भुगतान की दृष्टि से ख़तरों का हिसाब लगाने वाले को एक्चुअरी कहते हैं।)",/hi/career/%e0%a4%8f%e0%a4%95%e0%a5%8d%e0%a4%9a%e0%a5%81%e0%a4%85%e0%a4%b0%e0%a5%80-%e0%a4%ac%e0%a5%80%e0%a4%ae%e0%a4%be-%e0%a4%95%e0%a5%87-%e0%a4%b8%e0%a4%82%e0%a4%a6%e0%a4%b0%e0%a5%8d%e0%a4%ad-%e0%a4%ae/
BFSI05,NA,Chartered Accountant,/career/chartered-accountant/
BFSI05,NA,चार्टर्ड एकाउंटेंट,/hi/career/%e0%a4%9a%e0%a4%be%e0%a4%b0%e0%a5%8d%e0%a4%9f%e0%a4%b0%e0%a5%8d%e0%a4%a1-%e0%a4%8f%e0%a4%95%e0%a4%be%e0%a4%89%e0%a4%82%e0%a4%9f%e0%a5%87%e0%a4%82%e0%a4%9f/
BFSI06,NA,Investment/ Portfolio Manager,/career/investment-portfolio-manager/
